"political_party","total_votes","pp_valid_votes","pp_casting_votes","department","province","district"
"PARTIDO DEMOCRATICO SOMOS PERU","5","0.928%","0.755%","ANCASH","OCROS","COCHAS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","83","15.399%","12.538%","ANCASH","OCROS","COCHAS"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","OCROS","COCHAS"
"ALIANZA PARA EL PROGRESO","20","3.711%","3.021%","ANCASH","OCROS","COCHAS"
"PARTIDO NACIONALISTA PERUANO","22","6.567%","4.966%","ANCASH","OCROS","CONGAS"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","2","0.597%","0.451%","ANCASH","OCROS","CONGAS"
"PARTIDO MORADO","3","0.896%","0.677%","ANCASH","OCROS","CONGAS"
"PERU PATRIA SEGURA","1","0.299%","0.226%","ANCASH","OCROS","CONGAS"
"VICTORIA NACIONAL","10","2.985%","2.257%","ANCASH","OCROS","CONGAS"
"ACCION POPULAR","31","9.254%","6.998%","ANCASH","OCROS","CONGAS"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","12","3.582%","2.709%","ANCASH","OCROS","CONGAS"
"PODEMOS PERU","6","1.791%","1.354%","ANCASH","OCROS","CONGAS"
"JUNTOS POR EL PERU","41","12.239%","9.255%","ANCASH","OCROS","CONGAS"
"PARTIDO POPULAR CRISTIANO - PPC","8","2.388%","1.806%","ANCASH","OCROS","CONGAS"
"FUERZA POPULAR","123","36.716%","27.765%","ANCASH","OCROS","CONGAS"
"UNION POR EL PERU","3","0.896%","0.677%","ANCASH","OCROS","CONGAS"
"RENOVACION POPULAR","10","2.985%","2.257%","ANCASH","OCROS","CONGAS"
"RENACIMIENTO UNIDO NACIONAL","3","0.896%","0.677%","ANCASH","OCROS","CONGAS"
"PARTIDO DEMOCRATICO SOMOS PERU","7","2.090%","1.580%","ANCASH","OCROS","CONGAS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","37","11.045%","8.352%","ANCASH","OCROS","CONGAS"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","OCROS","CONGAS"
"ALIANZA PARA EL PROGRESO","16","4.776%","3.612%","ANCASH","OCROS","CONGAS"
"PARTIDO NACIONALISTA PERUANO","2","2.439%","1.709%","ANCASH","OCROS","LLIPA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","0","0.000%","0.000%","ANCASH","OCROS","LLIPA"
"PARTIDO MORADO","1","1.220%","0.855%","ANCASH","OCROS","LLIPA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","ANCASH","OCROS","LLIPA"
"VICTORIA NACIONAL","0","0.000%","0.000%","ANCASH","OCROS","LLIPA"
"ACCION POPULAR","16","19.512%","13.675%","ANCASH","OCROS","LLIPA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","6","7.317%","5.128%","ANCASH","OCROS","LLIPA"
"PODEMOS PERU","5","6.098%","4.274%","ANCASH","OCROS","LLIPA"
"JUNTOS POR EL PERU","8","9.756%","6.838%","ANCASH","OCROS","LLIPA"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","ANCASH","OCROS","LLIPA"
"FUERZA POPULAR","24","29.268%","20.513%","ANCASH","OCROS","LLIPA"
"UNION POR EL PERU","2","2.439%","1.709%","ANCASH","OCROS","LLIPA"
"RENOVACION POPULAR","2","2.439%","1.709%","ANCASH","OCROS","LLIPA"
"RENACIMIENTO UNIDO NACIONAL","0","0.000%","0.000%","ANCASH","OCROS","LLIPA"
"PARTIDO DEMOCRATICO SOMOS PERU","1","1.220%","0.855%","ANCASH","OCROS","LLIPA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","13","15.854%","11.111%","ANCASH","OCROS","LLIPA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","OCROS","LLIPA"
"ALIANZA PARA EL PROGRESO","2","2.439%","1.709%","ANCASH","OCROS","LLIPA"
"PARTIDO NACIONALISTA PERUANO","7","1.852%","1.321%","ANCASH","OCROS","OCROS"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","1","0.265%","0.189%","ANCASH","OCROS","OCROS"
"PARTIDO MORADO","9","2.381%","1.698%","ANCASH","OCROS","OCROS"
"PERU PATRIA SEGURA","2","0.529%","0.377%","ANCASH","OCROS","OCROS"
"VICTORIA NACIONAL","21","5.556%","3.962%","ANCASH","OCROS","OCROS"
"ACCION POPULAR","37","9.788%","6.981%","ANCASH","OCROS","OCROS"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","10","2.646%","1.887%","ANCASH","OCROS","OCROS"
"PODEMOS PERU","17","4.497%","3.208%","ANCASH","OCROS","OCROS"
"JUNTOS POR EL PERU","35","9.259%","6.604%","ANCASH","OCROS","OCROS"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","ANCASH","OCROS","OCROS"
"FUERZA POPULAR","94","24.868%","17.736%","ANCASH","OCROS","OCROS"
"UNION POR EL PERU","7","1.852%","1.321%","ANCASH","OCROS","OCROS"
"RENOVACION POPULAR","32","8.466%","6.038%","ANCASH","OCROS","OCROS"
"RENACIMIENTO UNIDO NACIONAL","3","0.794%","0.566%","ANCASH","OCROS","OCROS"
"PARTIDO DEMOCRATICO SOMOS PERU","7","1.852%","1.321%","ANCASH","OCROS","OCROS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","74","19.577%","13.962%","ANCASH","OCROS","OCROS"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","OCROS","OCROS"
"ALIANZA PARA EL PROGRESO","22","5.820%","4.151%","ANCASH","OCROS","OCROS"
"PARTIDO NACIONALISTA PERUANO","2","1.439%","1.020%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","1","0.719%","0.510%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"PARTIDO MORADO","2","1.439%","1.020%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"PERU PATRIA SEGURA","1","0.719%","0.510%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"VICTORIA NACIONAL","9","6.475%","4.592%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"ACCION POPULAR","20","14.388%","10.204%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","8","5.755%","4.082%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"PODEMOS PERU","11","7.914%","5.612%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"JUNTOS POR EL PERU","6","4.317%","3.061%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.719%","0.510%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"FUERZA POPULAR","28","20.144%","14.286%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"UNION POR EL PERU","1","0.719%","0.510%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"RENOVACION POPULAR","14","10.072%","7.143%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"RENACIMIENTO UNIDO NACIONAL","3","2.158%","1.531%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"PARTIDO DEMOCRATICO SOMOS PERU","1","0.719%","0.510%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"PARTIDO POLITICO NACIONAL PERU LIBRE","24","17.266%","12.245%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"ALIANZA PARA EL PROGRESO","7","5.036%","3.571%","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN"
"PARTIDO NACIONALISTA PERUANO","14","4.651%","3.966%","ANCASH","OCROS","SAN PEDRO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","3","0.997%","0.850%","ANCASH","OCROS","SAN PEDRO"
"PARTIDO MORADO","5","1.661%","1.416%","ANCASH","OCROS","SAN PEDRO"
"PERU PATRIA SEGURA","0","0.000%","0.000%","ANCASH","OCROS","SAN PEDRO"
"VICTORIA NACIONAL","27","8.970%","7.649%","ANCASH","OCROS","SAN PEDRO"
"ACCION POPULAR","48","15.947%","13.598%","ANCASH","OCROS","SAN PEDRO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","18","5.980%","5.099%","ANCASH","OCROS","SAN PEDRO"
"PODEMOS PERU","11","3.654%","3.116%","ANCASH","OCROS","SAN PEDRO"
"JUNTOS POR EL PERU","35","11.628%","9.915%","ANCASH","OCROS","SAN PEDRO"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","ANCASH","OCROS","SAN PEDRO"
"FUERZA POPULAR","69","22.924%","19.547%","ANCASH","OCROS","SAN PEDRO"
"UNION POR EL PERU","1","0.332%","0.283%","ANCASH","OCROS","SAN PEDRO"
"RENOVACION POPULAR","16","5.316%","4.533%","ANCASH","OCROS","SAN PEDRO"
"RENACIMIENTO UNIDO NACIONAL","3","0.997%","0.850%","ANCASH","OCROS","SAN PEDRO"
"PARTIDO DEMOCRATICO SOMOS PERU","4","1.329%","1.133%","ANCASH","OCROS","SAN PEDRO"
"PARTIDO POLITICO NACIONAL PERU LIBRE","32","10.631%","9.065%","ANCASH","OCROS","SAN PEDRO"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","OCROS","SAN PEDRO"
"ALIANZA PARA EL PROGRESO","15","4.983%","4.249%","ANCASH","OCROS","SAN PEDRO"
"PARTIDO NACIONALISTA PERUANO","15","10.870%","7.772%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","2","1.449%","1.036%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"PARTIDO MORADO","2","1.449%","1.036%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"PERU PATRIA SEGURA","0","0.000%","0.000%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"VICTORIA NACIONAL","4","2.899%","2.073%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"ACCION POPULAR","7","5.072%","3.627%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","4","2.899%","2.073%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"PODEMOS PERU","5","3.623%","2.591%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"JUNTOS POR EL PERU","4","2.899%","2.073%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"FUERZA POPULAR","85","61.594%","44.041%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"UNION POR EL PERU","0","0.000%","0.000%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"RENOVACION POPULAR","0","0.000%","0.000%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"RENACIMIENTO UNIDO NACIONAL","0","0.000%","0.000%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"PARTIDO DEMOCRATICO SOMOS PERU","1","0.725%","0.518%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","7","5.072%","3.627%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"ALIANZA PARA EL PROGRESO","2","1.449%","1.036%","ANCASH","OCROS","SANTIAGO DE CHILCAS"
"PARTIDO NACIONALISTA PERUANO","6","1.948%","1.336%","ANCASH","PALLASCA","BOLOGNESI"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","1","0.325%","0.223%","ANCASH","PALLASCA","BOLOGNESI"
"PARTIDO MORADO","12","3.896%","2.673%","ANCASH","PALLASCA","BOLOGNESI"
"PERU PATRIA SEGURA","4","1.299%","0.891%","ANCASH","PALLASCA","BOLOGNESI"
"VICTORIA NACIONAL","19","6.169%","4.232%","ANCASH","PALLASCA","BOLOGNESI"
"ACCION POPULAR","72","23.377%","16.036%","ANCASH","PALLASCA","BOLOGNESI"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","9","2.922%","2.004%","ANCASH","PALLASCA","BOLOGNESI"
"PODEMOS PERU","4","1.299%","0.891%","ANCASH","PALLASCA","BOLOGNESI"
"JUNTOS POR EL PERU","30","9.740%","6.682%","ANCASH","PALLASCA","BOLOGNESI"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.325%","0.223%","ANCASH","PALLASCA","BOLOGNESI"
"FUERZA POPULAR","21","6.818%","4.677%","ANCASH","PALLASCA","BOLOGNESI"
"UNION POR EL PERU","0","0.000%","0.000%","ANCASH","PALLASCA","BOLOGNESI"
"RENOVACION POPULAR","20","6.494%","4.454%","ANCASH","PALLASCA","BOLOGNESI"
"RENACIMIENTO UNIDO NACIONAL","3","0.974%","0.668%","ANCASH","PALLASCA","BOLOGNESI"
"PARTIDO DEMOCRATICO SOMOS PERU","25","8.117%","5.568%","ANCASH","PALLASCA","BOLOGNESI"
"PARTIDO POLITICO NACIONAL PERU LIBRE","54","17.532%","12.027%","ANCASH","PALLASCA","BOLOGNESI"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","PALLASCA","BOLOGNESI"
"ALIANZA PARA EL PROGRESO","27","8.766%","6.013%","ANCASH","PALLASCA","BOLOGNESI"
"PARTIDO NACIONALISTA PERUANO","9","1.096%","0.761%","ANCASH","PALLASCA","CABANA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","4","0.487%","0.338%","ANCASH","PALLASCA","CABANA"
"PARTIDO MORADO","29","3.532%","2.451%","ANCASH","PALLASCA","CABANA"
"PERU PATRIA SEGURA","4","0.487%","0.338%","ANCASH","PALLASCA","CABANA"
"VICTORIA NACIONAL","65","7.917%","5.495%","ANCASH","PALLASCA","CABANA"
"ACCION POPULAR","114","13.886%","9.637%","ANCASH","PALLASCA","CABANA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","41","4.994%","3.466%","ANCASH","PALLASCA","CABANA"
"PODEMOS PERU","8","0.974%","0.676%","ANCASH","PALLASCA","CABANA"
"JUNTOS POR EL PERU","92","11.206%","7.777%","ANCASH","PALLASCA","CABANA"
"PARTIDO POPULAR CRISTIANO - PPC","2","0.244%","0.169%","ANCASH","PALLASCA","CABANA"
"FUERZA POPULAR","90","10.962%","7.608%","ANCASH","PALLASCA","CABANA"
"UNION POR EL PERU","1","0.122%","0.085%","ANCASH","PALLASCA","CABANA"
"RENOVACION POPULAR","58","7.065%","4.903%","ANCASH","PALLASCA","CABANA"
"RENACIMIENTO UNIDO NACIONAL","3","0.365%","0.254%","ANCASH","PALLASCA","CABANA"
"PARTIDO DEMOCRATICO SOMOS PERU","27","3.289%","2.282%","ANCASH","PALLASCA","CABANA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","215","26.188%","18.174%","ANCASH","PALLASCA","CABANA"
"DEMOCRACIA DIRECTA","2","0.244%","0.169%","ANCASH","PALLASCA","CABANA"
"ALIANZA PARA EL PROGRESO","57","6.943%","4.818%","ANCASH","PALLASCA","CABANA"
"PARTIDO NACIONALISTA PERUANO","32","1.790%","1.187%","ANCASH","PALLASCA","CONCHUCOS"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","9","0.503%","0.334%","ANCASH","PALLASCA","CONCHUCOS"
"PARTIDO MORADO","38","2.125%","1.410%","ANCASH","PALLASCA","CONCHUCOS"
"PERU PATRIA SEGURA","6","0.336%","0.223%","ANCASH","PALLASCA","CONCHUCOS"
"VICTORIA NACIONAL","58","3.244%","2.152%","ANCASH","PALLASCA","CONCHUCOS"
"ACCION POPULAR","285","15.940%","10.575%","ANCASH","PALLASCA","CONCHUCOS"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","38","2.125%","1.410%","ANCASH","PALLASCA","CONCHUCOS"
"PODEMOS PERU","29","1.622%","1.076%","ANCASH","PALLASCA","CONCHUCOS"
"JUNTOS POR EL PERU","238","13.311%","8.831%","ANCASH","PALLASCA","CONCHUCOS"
"PARTIDO POPULAR CRISTIANO - PPC","12","0.671%","0.445%","ANCASH","PALLASCA","CONCHUCOS"
"FUERZA POPULAR","180","10.067%","6.679%","ANCASH","PALLASCA","CONCHUCOS"
"UNION POR EL PERU","22","1.230%","0.816%","ANCASH","PALLASCA","CONCHUCOS"
"RENOVACION POPULAR","67","3.747%","2.486%","ANCASH","PALLASCA","CONCHUCOS"
"RENACIMIENTO UNIDO NACIONAL","12","0.671%","0.445%","ANCASH","PALLASCA","CONCHUCOS"
"PARTIDO DEMOCRATICO SOMOS PERU","92","5.145%","3.414%","ANCASH","PALLASCA","CONCHUCOS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","541","30.257%","20.074%","ANCASH","PALLASCA","CONCHUCOS"
"DEMOCRACIA DIRECTA","3","0.168%","0.111%","ANCASH","PALLASCA","CONCHUCOS"
"ALIANZA PARA EL PROGRESO","126","7.047%","4.675%","ANCASH","PALLASCA","CONCHUCOS"
"PARTIDO NACIONALISTA PERUANO","5","2.392%","1.832%","ANCASH","PALLASCA","HUACASCHUQUE"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","5","2.392%","1.832%","ANCASH","PALLASCA","HUACASCHUQUE"
"PARTIDO MORADO","4","1.914%","1.465%","ANCASH","PALLASCA","HUACASCHUQUE"
"PERU PATRIA SEGURA","1","0.478%","0.366%","ANCASH","PALLASCA","HUACASCHUQUE"
"VICTORIA NACIONAL","16","7.656%","5.861%","ANCASH","PALLASCA","HUACASCHUQUE"
"ACCION POPULAR","21","10.048%","7.692%","ANCASH","PALLASCA","HUACASCHUQUE"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","2","0.957%","0.733%","ANCASH","PALLASCA","HUACASCHUQUE"
"PODEMOS PERU","4","1.914%","1.465%","ANCASH","PALLASCA","HUACASCHUQUE"
"JUNTOS POR EL PERU","24","11.483%","8.791%","ANCASH","PALLASCA","HUACASCHUQUE"
"PARTIDO POPULAR CRISTIANO - PPC","3","1.435%","1.099%","ANCASH","PALLASCA","HUACASCHUQUE"
"FUERZA POPULAR","13","6.220%","4.762%","ANCASH","PALLASCA","HUACASCHUQUE"
"UNION POR EL PERU","6","2.871%","2.198%","ANCASH","PALLASCA","HUACASCHUQUE"
"RENOVACION POPULAR","4","1.914%","1.465%","ANCASH","PALLASCA","HUACASCHUQUE"
"RENACIMIENTO UNIDO NACIONAL","1","0.478%","0.366%","ANCASH","PALLASCA","HUACASCHUQUE"
"PARTIDO DEMOCRATICO SOMOS PERU","9","4.306%","3.297%","ANCASH","PALLASCA","HUACASCHUQUE"
"PARTIDO POLITICO NACIONAL PERU LIBRE","67","32.057%","24.542%","ANCASH","PALLASCA","HUACASCHUQUE"
"DEMOCRACIA DIRECTA","1","0.478%","0.366%","ANCASH","PALLASCA","HUACASCHUQUE"
"ALIANZA PARA EL PROGRESO","23","11.005%","8.425%","ANCASH","PALLASCA","HUACASCHUQUE"
"PARTIDO NACIONALISTA PERUANO","4","1.338%","0.932%","ANCASH","PALLASCA","HUANDOVAL"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","4","1.338%","0.932%","ANCASH","PALLASCA","HUANDOVAL"
"PARTIDO MORADO","20","6.689%","4.662%","ANCASH","PALLASCA","HUANDOVAL"
"PERU PATRIA SEGURA","2","0.669%","0.466%","ANCASH","PALLASCA","HUANDOVAL"
"VICTORIA NACIONAL","15","5.017%","3.497%","ANCASH","PALLASCA","HUANDOVAL"
"ACCION POPULAR","34","11.371%","7.925%","ANCASH","PALLASCA","HUANDOVAL"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","10","3.344%","2.331%","ANCASH","PALLASCA","HUANDOVAL"
"PODEMOS PERU","3","1.003%","0.699%","ANCASH","PALLASCA","HUANDOVAL"
"JUNTOS POR EL PERU","75","25.084%","17.483%","ANCASH","PALLASCA","HUANDOVAL"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","ANCASH","PALLASCA","HUANDOVAL"
"FUERZA POPULAR","13","4.348%","3.030%","ANCASH","PALLASCA","HUANDOVAL"
"UNION POR EL PERU","1","0.334%","0.233%","ANCASH","PALLASCA","HUANDOVAL"
"RENOVACION POPULAR","19","6.355%","4.429%","ANCASH","PALLASCA","HUANDOVAL"
"RENACIMIENTO UNIDO NACIONAL","2","0.669%","0.466%","ANCASH","PALLASCA","HUANDOVAL"
"PARTIDO DEMOCRATICO SOMOS PERU","1","0.334%","0.233%","ANCASH","PALLASCA","HUANDOVAL"
"PARTIDO POLITICO NACIONAL PERU LIBRE","56","18.729%","13.054%","ANCASH","PALLASCA","HUANDOVAL"
"DEMOCRACIA DIRECTA","2","0.669%","0.466%","ANCASH","PALLASCA","HUANDOVAL"
"ALIANZA PARA EL PROGRESO","38","12.709%","8.858%","ANCASH","PALLASCA","HUANDOVAL"
"PARTIDO NACIONALISTA PERUANO","4","2.367%","1.754%","ANCASH","PALLASCA","LACABAMBA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","2","1.183%","0.877%","ANCASH","PALLASCA","LACABAMBA"
"PARTIDO MORADO","5","2.959%","2.193%","ANCASH","PALLASCA","LACABAMBA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","ANCASH","PALLASCA","LACABAMBA"
"VICTORIA NACIONAL","4","2.367%","1.754%","ANCASH","PALLASCA","LACABAMBA"
"ACCION POPULAR","8","4.734%","3.509%","ANCASH","PALLASCA","LACABAMBA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","3","1.775%","1.316%","ANCASH","PALLASCA","LACABAMBA"
"PODEMOS PERU","0","0.000%","0.000%","ANCASH","PALLASCA","LACABAMBA"
"JUNTOS POR EL PERU","13","7.692%","5.702%","ANCASH","PALLASCA","LACABAMBA"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","ANCASH","PALLASCA","LACABAMBA"
"FUERZA POPULAR","14","8.284%","6.140%","ANCASH","PALLASCA","LACABAMBA"
"UNION POR EL PERU","3","1.775%","1.316%","ANCASH","PALLASCA","LACABAMBA"
"RENOVACION POPULAR","2","1.183%","0.877%","ANCASH","PALLASCA","LACABAMBA"
"RENACIMIENTO UNIDO NACIONAL","0","0.000%","0.000%","ANCASH","PALLASCA","LACABAMBA"
"PARTIDO DEMOCRATICO SOMOS PERU","5","2.959%","2.193%","ANCASH","PALLASCA","LACABAMBA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","92","54.438%","40.351%","ANCASH","PALLASCA","LACABAMBA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","PALLASCA","LACABAMBA"
"ALIANZA PARA EL PROGRESO","14","8.284%","6.140%","ANCASH","PALLASCA","LACABAMBA"
"PARTIDO NACIONALISTA PERUANO","10","3.846%","3.086%","ANCASH","PALLASCA","LLAPO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","0","0.000%","0.000%","ANCASH","PALLASCA","LLAPO"
"PARTIDO MORADO","8","3.077%","2.469%","ANCASH","PALLASCA","LLAPO"
"PERU PATRIA SEGURA","1","0.385%","0.309%","ANCASH","PALLASCA","LLAPO"
"VICTORIA NACIONAL","32","12.308%","9.877%","ANCASH","PALLASCA","LLAPO"
"ACCION POPULAR","18","6.923%","5.556%","ANCASH","PALLASCA","LLAPO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","8","3.077%","2.469%","ANCASH","PALLASCA","LLAPO"
"PODEMOS PERU","4","1.538%","1.235%","ANCASH","PALLASCA","LLAPO"
"JUNTOS POR EL PERU","38","14.615%","11.728%","ANCASH","PALLASCA","LLAPO"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","ANCASH","PALLASCA","LLAPO"
"FUERZA POPULAR","34","13.077%","10.494%","ANCASH","PALLASCA","LLAPO"
"UNION POR EL PERU","2","0.769%","0.617%","ANCASH","PALLASCA","LLAPO"
"RENOVACION POPULAR","11","4.231%","3.395%","ANCASH","PALLASCA","LLAPO"
"RENACIMIENTO UNIDO NACIONAL","1","0.385%","0.309%","ANCASH","PALLASCA","LLAPO"
"PARTIDO DEMOCRATICO SOMOS PERU","1","0.385%","0.309%","ANCASH","PALLASCA","LLAPO"
"PARTIDO POLITICO NACIONAL PERU LIBRE","68","26.154%","20.988%","ANCASH","PALLASCA","LLAPO"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","PALLASCA","LLAPO"
"ALIANZA PARA EL PROGRESO","24","9.231%","7.407%","ANCASH","PALLASCA","LLAPO"
"PARTIDO NACIONALISTA PERUANO","19","2.186%","1.575%","ANCASH","PALLASCA","PALLASCA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","10","1.151%","0.829%","ANCASH","PALLASCA","PALLASCA"
"PARTIDO MORADO","8","0.921%","0.663%","ANCASH","PALLASCA","PALLASCA"
"PERU PATRIA SEGURA","6","0.690%","0.498%","ANCASH","PALLASCA","PALLASCA"
"VICTORIA NACIONAL","58","6.674%","4.809%","ANCASH","PALLASCA","PALLASCA"
"ACCION POPULAR","91","10.472%","7.546%","ANCASH","PALLASCA","PALLASCA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","18","2.071%","1.493%","ANCASH","PALLASCA","PALLASCA"
"PODEMOS PERU","14","1.611%","1.161%","ANCASH","PALLASCA","PALLASCA"
"JUNTOS POR EL PERU","74","8.516%","6.136%","ANCASH","PALLASCA","PALLASCA"
"PARTIDO POPULAR CRISTIANO - PPC","2","0.230%","0.166%","ANCASH","PALLASCA","PALLASCA"
"FUERZA POPULAR","105","12.083%","8.706%","ANCASH","PALLASCA","PALLASCA"
"UNION POR EL PERU","3","0.345%","0.249%","ANCASH","PALLASCA","PALLASCA"
"RENOVACION POPULAR","30","3.452%","2.488%","ANCASH","PALLASCA","PALLASCA"
"RENACIMIENTO UNIDO NACIONAL","4","0.460%","0.332%","ANCASH","PALLASCA","PALLASCA"
"PARTIDO DEMOCRATICO SOMOS PERU","24","2.762%","1.990%","ANCASH","PALLASCA","PALLASCA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","331","38.090%","27.446%","ANCASH","PALLASCA","PALLASCA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","ANCASH","PALLASCA","PALLASCA"
"ALIANZA PARA EL PROGRESO","72","8.285%","5.970%","ANCASH","PALLASCA","PALLASCA"
"PARTIDO NACIONALISTA PERUANO","18","1.537%","1.114%","ANCASH","PALLASCA","PAMPAS"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","7","0.598%","0.433%","ANCASH","PALLASCA","PAMPAS"
"PARTIDO MORADO","14","1.196%","0.866%","ANCASH","PALLASCA","PAMPAS"
"PERU PATRIA SEGURA","6","0.512%","0.371%","ANCASH","PALLASCA","PAMPAS"
"VICTORIA NACIONAL","31","2.647%","1.918%","ANCASH","PALLASCA","PAMPAS"
"ACCION POPULAR","157","13.407%","9.715%","ANCASH","PALLASCA","PAMPAS"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","30","2.562%","1.856%","ANCASH","PALLASCA","PAMPAS"
